Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,USD,24.0271852545,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,USD,25.0016398249,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,USD,26.6915682802,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,USD,29.9278898414,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,USD,34.0204867451,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,USD,37.4434791473,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,USD,38.3621793584,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,USD,45.4189778706,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,USD,49.3395298405,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,USD,54.5424476018,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,USD,60.1617143454,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,USD,54.6768603204,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,USD,50.7900378032,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,USD,46.5865527133,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,USD,47.4027785217,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,USD,45.0279745762,E
