year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2018,Sep,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,191.45,1.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,54.61,1.0,58.11,25.35
2018,Sep,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,6907.5,90.0,58.11,25.35
2018,Sep,North Eastern,Garissa,Garissa,cereals and tubers,Maize (white),KG,60.0,1.0,58.11,25.35
2018,Sep,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,67.0,1.0,58.11,25.35
2018,Sep,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,29.25,1.0,58.11,25.35
2018,Sep,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,2500.0,90.0,58.11,25.35
2018,Sep,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,2687.5,50.0,58.11,25.35
2018,Sep,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,60.06,1.0,58.11,25.35
2018,Sep,Rift Valley,Baringo,Marigat (Baringo),pulses and nuts,Beans (dry),KG,103.0,1.0,58.11,25.35
2018,Sep,Rift Valley,Kajiado,Kajiado,cereals and tubers,Maize (white),KG,40.0,1.0,58.11,25.35
2018,Sep,Rift Valley,Kajiado,Kajiado,pulses and nuts,Beans (dry),KG,71.0,1.0,58.11,25.35
2018,Sep,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,15.98,1.0,58.11,25.35
2018,Sep,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize (white),90 KG,1810.0,90.0,58.11,25.35
2018,Sep,Rift Valley,Nakuru,Nakuru,cereals and tubers,Potatoes (Irish),50 KG,4000.0,50.0,58.11,25.35
2018,Sep,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,45.04,1.0,58.11,25.35
2018,Sep,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans (dry),90 KG,5400.0,90.0,58.11,25.35
2018,Sep,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,63.0,1.0,58.11,25.35
2018,Sep,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,15.28,1.0,58.11,25.35
2018,Sep,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,2410.0,50.0,58.11,25.35
2018,Sep,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,7447.5,90.0,58.11,25.35
2008,May,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,1912.38,90.0,63.93,24.57
2008,May,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,49.45,1.0,63.93,24.57
2008,May,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,4592.86,90.0,63.93,24.57
2008,May,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,1666.66,50.0,63.93,24.57
2008,May,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,1200.0,90.0,63.93,24.57
2008,May,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,27.0,1.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,20.46,1.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,1920.0,90.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,2395.24,90.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,177.0,1.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,57.29,1.0,63.93,24.57
2008,May,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,5310.0,90.0,63.93,24.57
2008,May,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,34.0,1.0,63.93,24.57
2008,May,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,25.54,1.0,63.93,24.57
2008,May,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,2400.0,90.0,63.93,24.57
2008,May,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,2019.6,50.0,63.93,24.57
2008,May,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,61.98,1.0,63.93,24.57
2008,May,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,58.54,1.0,63.93,24.57
2008,May,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,55.0,1.0,63.93,24.57
2008,May,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,19.28,1.0,63.93,24.57
2008,May,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,1778.0,90.0,63.93,24.57
2008,May,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,1555.56,90.0,63.93,24.57
2008,May,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,4800.0,90.0,63.93,24.57
2009,Oct,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,24.61,1.0,130.98,25.67
2009,Oct,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,57.61,1.0,130.98,25.67
2009,Oct,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,5238.0,90.0,130.98,25.67
2009,Oct,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,3200.0,90.0,130.98,25.67
2009,Oct,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,60.0,1.0,130.98,25.67
2009,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,25.82,1.0,130.98,25.67
2009,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,2406.0,90.0,130.98,25.67
2009,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,2758.0,90.0,130.98,25.67
2009,Oct,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,140.0,1.0,130.98,25.67
2009,Oct,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,50.88,1.0,130.98,25.67
2009,Oct,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,41.0,1.0,130.98,25.67
2009,Oct,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,2380.0,90.0,130.98,25.67
2009,Oct,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,1026.66,50.0,130.98,25.67
2009,Oct,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,59.87,1.0,130.98,25.67
