year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,3,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,57.0,184.92,57.0,4.060443010546419
2014,3,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,35.0,184.92,35.0,3.58351893845611
2014,3,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3600.0,184.92,40.0,3.713572066704308
2014,3,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,184.92,40.0,3.713572066704308
2014,3,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,29.58,184.92,29.58,3.420346200500916
2014,3,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,Wholesale,66.0,184.92,66.0,4.204692619390966
2014,3,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,31.53,184.92,31.53,3.48216274048526
2014,3,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1599.99,184.92,32.0,3.4965075614664802
2014,3,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,8481.25,184.92,94.24,4.556400021618662
2014,4,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,39.3,269.88,39.3,3.696351468952637
2014,4,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,3000.0,269.88,33.33,3.5360196074696004
2014,4,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2370.55,269.88,47.41,3.879706403951603
2014,4,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,269.88,40.0,3.713572066704308
2014,4,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,80.0,269.88,80.0,4.394449154672439
2014,4,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,44.7,269.88,44.7,3.822098297900159
2014,4,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,45.0,269.88,112.5,4.7318028369214575
2014,4,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,33.04,269.88,33.04,3.5275363037051735
2014,4,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,3800.0,269.88,42.22,3.76630335107874
2014,4,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,45.0,269.88,90.0,4.51085950651685
2014,4,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,230.0,269.88,230.0,5.442417710521793
2014,4,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,67.07,269.88,67.07,4.22053658745986
2014,4,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,6660.0,269.88,74.0,4.31748811353631
2014,4,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,35.1,269.88,35.1,3.586292865338835
2014,4,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,3600.0,269.88,40.0,3.713572066704308
2014,4,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2155.55,269.88,43.11,3.786686514116848
2014,4,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,85.2,269.88,85.2,4.456670177669648
2014,4,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,Wholesale,31.71,269.88,31.71,3.4876808415502927
