date,rainfall_mm
12/11/1998,253.2292
12/21/1998,250.25
1/1/1999,236.3333
1/11/1999,237.0833
1/21/1999,224.0417
2/1/1999,172.0417
2/11/1999,105.8333
2/21/1999,67.8333
3/1/1999,81
3/11/1999,160.4583
3/21/1999,171.7292
4/1/1999,237
4/11/1999,269.1875
4/21/1999,317.9375
5/1/1999,333.25
5/11/1999,365.0208
5/21/1999,402.7917
6/1/1999,387.375
6/11/1999,308.2917
6/21/1999,298.75
7/1/1999,238.7708
7/11/1999,206.2917
7/21/1999,165.8125
8/1/1999,155.4583
8/11/1999,128.125
8/21/1999,96.8125
9/1/1999,100.2083
9/11/1999,102.25
9/21/1999,99.9375
10/1/1999,105.2292
10/11/1999,103.2083
10/21/1999,131.5625
11/1/1999,179.2917
11/11/1999,269.1458
11/21/1999,429.3542
12/1/1999,477.4583
12/11/1999,479.125
12/21/1999,508.3333
1/1/2000,493.3958
1/11/2000,484.2917
1/21/2000,446.4375
2/1/2000,392.375
2/11/2000,297.1875
2/21/2000,129.9375
3/1/2000,86.0625
3/11/2000,83.25
3/21/2000,61.5
4/1/2000,129.75
4/11/2000,164.875
4/21/2000,189.75
5/1/2000,210.6042
5/11/2000,229.9792
5/21/2000,258
6/1/2000,251.3958
6/11/2000,252.9375
6/21/2000,248.5
7/1/2000,185.375
7/11/2000,154.1875
7/21/2000,138.375
8/1/2000,125.4375
8/11/2000,109.3958
8/21/2000,87.4792
9/1/2000,89.9583
9/11/2000,93.2083
9/21/2000,91.5625
10/1/2000,106.3333
10/11/2000,115.6667
10/21/2000,122.2917
11/1/2000,158.3542
11/11/2000,240.625
11/21/2000,314.6875
12/1/2000,322.375
12/11/2000,356.8333
12/21/2000,356.5
1/1/2001,359.6667
1/11/2001,354.8958
1/21/2001,403.7083
2/1/2001,360.9583
2/11/2001,277.1875
2/21/2001,198.0833
3/1/2001,193.7083
3/11/2001,162.7708
3/21/2001,256.7083
4/1/2001,368.0417
4/11/2001,438.875
4/21/2001,509.7292
5/1/2001,539.0417
5/11/2001,571.7917
5/21/2001,611.2708
6/1/2001,605.3958
6/11/2001,600.4792
6/21/2001,520.6458
7/1/2001,392.0417
7/11/2001,319.1042
7/21/2001,196.4583
8/1/2001,176.5
8/11/2001,147.25
8/21/2001,109.75
9/1/2001,114.1667
9/11/2001,109.5
9/21/2001,93.625
10/1/2001,117.4167
10/11/2001,118.3542
10/21/2001,125.6875
11/1/2001,191.2083
11/11/2001,316.6042
11/21/2001,360.3542
12/1/2001,360.7708
12/11/2001,374.4792
12/21/2001,377.6042
1/1/2002,351.0208
1/11/2002,365.6458
1/21/2002,345.7083
2/1/2002,269.875
2/11/2002,139.9375
2/21/2002,98.2083
3/1/2002,132.2708
3/11/2002,137.5417
3/21/2002,147.5
4/1/2002,196.3958
4/11/2002,331.4583
4/21/2002,469.9167
5/1/2002,635.6667
5/11/2002,653.9375
5/21/2002,677.5833
6/1/2002,638.625
6/11/2002,627.875
6/21/2002,618.5208
7/1/2002,573.6458
7/11/2002,419.0208
7/21/2002,286.8542
8/1/2002,134.8542
8/11/2002,125.6667
8/21/2002,108.6042
9/1/2002,118.8125
9/11/2002,131.6042
9/21/2002,134.0417
10/1/2002,154.7917
10/11/2002,198.1667
10/21/2002,253.8542
11/1/2002,337.7708
11/11/2002,371.9792
11/21/2002,386.3958
12/1/2002,391.2708
12/11/2002,383.2083
12/21/2002,435.4375
1/1/2003,410
1/11/2003,363.25
1/21/2003,299.2292
2/1/2003,200.8958
2/11/2003,161.2292
2/21/2003,133.7917
3/1/2003,119.3125
3/11/2003,107.6667
3/21/2003,88.0417
4/1/2003,126.3333
4/11/2003,202.25
4/21/2003,376.1875
5/1/2003,551.125
5/11/2003,607.0208
5/21/2003,647.0417
6/1/2003,647.0833
6/11/2003,646.25
6/21/2003,611.6042
7/1/2003,574.4792
7/11/2003,503.7292
7/21/2003,335.6875
8/1/2003,181.5625
8/11/2003,130.3958
8/21/2003,110.9375
9/1/2003,121.9792
9/11/2003,127.5833
9/21/2003,126.9167
10/1/2003,147.3958
10/11/2003,171.25
10/21/2003,280.5833
11/1/2003,304.2917
11/11/2003,363.2292
11/21/2003,382.1667
12/1/2003,414.4583
12/11/2003,414.3125
12/21/2003,416.1042
1/1/2004,395.8542
1/11/2004,382.125
1/21/2004,272.0208
2/1/2004,244.3542
2/11/2004,179.0208
2/21/2004,143.1667
3/1/2004,104.2292
3/11/2004,111.6042
3/21/2004,138.6042
4/1/2004,185.5208
4/11/2004,246.5833
4/21/2004,258.625
5/1/2004,279.6667
5/11/2004,285.4167
5/21/2004,307.375
6/1/2004,302.0625
6/11/2004,290.0833
6/21/2004,265.6042
7/1/2004,219.8958
7/11/2004,149.6667
7/21/2004,136.9583
8/1/2004,106.0208
8/11/2004,102.875
8/21/2004,81.5208
9/1/2004,87.6667
9/11/2004,98.1042
9/21/2004,104.7292
10/1/2004,108.7708
10/11/2004,123.0625
10/21/2004,178.1667
11/1/2004,253.1875
11/11/2004,315.9583
11/21/2004,357.0208
12/1/2004,364.7292
12/11/2004,366.3333
12/21/2004,362.2708
1/1/2005,351.3958
1/11/2005,329.7917
1/21/2005,280.1667
2/1/2005,198.0208
2/11/2005,129.9375
2/21/2005,87.9167
3/1/2005,77.9375
3/11/2005,73.6458
3/21/2005,77.7708
4/1/2005,135.9375
4/11/2005,168.3958
4/21/2005,244.8542
5/1/2005,295.4792
5/11/2005,319.0833
5/21/2005,473.3333
6/1/2005,473.5833
6/11/2005,466.625
6/21/2005,463.3958
7/1/2005,414.4375
7/11/2005,400.3125
7/21/2005,325.0625
8/1/2005,291.4167
8/11/2005,288.8958
8/21/2005,143.4792
9/1/2005,150.0625
9/11/2005,151.6458
9/21/2005,141.0417
10/1/2005,150.25
10/11/2005,167.0833
10/21/2005,205.2292
11/1/2005,225
11/11/2005,228.5
11/21/2005,257.5208
12/1/2005,247.8958
12/11/2005,245.125
12/21/2005,244.2083
1/1/2006,229.1458
1/11/2006,198.625
1/21/2006,152.2708
2/1/2006,116.625
2/11/2006,92.2083
2/21/2006,68.3542
3/1/2006,127.2917
3/11/2006,135.3958
3/21/2006,164.2083
4/1/2006,279.375
4/11/2006,333.9167
4/21/2006,394.125
5/1/2006,509.7292
5/11/2006,548.2917
5/21/2006,554.6042
6/1/2006,493.9375
6/11/2006,490.2708
6/21/2006,466.5625
7/1/2006,357.0208
7/11/2006,305.9167
7/21/2006,252.3125
8/1/2006,147.6667
8/11/2006,111.9375
8/21/2006,97.3125
9/1/2006,108.0625
9/11/2006,110.7083
9/21/2006,130.4167
10/1/2006,144.3542
10/11/2006,175.3958
10/21/2006,294.625
11/1/2006,387.8125
11/11/2006,572.3542
11/21/2006,668.1458
12/1/2006,692.5208
12/11/2006,701.8125
12/21/2006,828.0208
1/1/2007,816.0417
1/11/2007,793.0208
1/21/2007,668.375
2/1/2007,568.0417
2/11/2007,384.2083
2/21/2007,289.7917
3/1/2007,256.9375
3/11/2007,256.5625
3/21/2007,127.5
4/1/2007,141.7708
4/11/2007,254.25
4/21/2007,308
5/1/2007,364.8333
5/11/2007,419.2292
5/21/2007,491.5
6/1/2007,500.4583
6/11/2007,489.6667
6/21/2007,479.3333
7/1/2007,465.2917
7/11/2007,347.2917
7/21/2007,335.6458
8/1/2007,295.9583
8/11/2007,258.6458
8/21/2007,185.6875
9/1/2007,181.4583
9/11/2007,186.0417
9/21/2007,180.4583
10/1/2007,202.7917
10/11/2007,235.3542
10/21/2007,319.1042
11/1/2007,326.8125
11/11/2007,375.8125
11/21/2007,395.1875
12/1/2007,403.4583
12/11/2007,398.0833
12/21/2007,398.5625
1/1/2008,366.7917
1/11/2008,367.2917
1/21/2008,250.3542
2/1/2008,229.4167
2/11/2008,159.9167
2/21/2008,131.2292
3/1/2008,128.0833
3/11/2008,135.4792
3/21/2008,224.3542
4/1/2008,249.4792
4/11/2008,277.7708
4/21/2008,367.9583
5/1/2008,370.7708
5/11/2008,380.9792
5/21/2008,401.0625
6/1/2008,388.875
6/11/2008,379.7708
6/21/2008,289.1042
7/1/2008,269.5833
7/11/2008,205.6875
7/21/2008,124.9792
8/1/2008,120.7292
8/11/2008,113.6875
8/21/2008,99.4375
9/1/2008,106.9792
9/11/2008,105.125
9/21/2008,105.0208
10/1/2008,139.8333
10/11/2008,218.7292
10/21/2008,226.0833
11/1/2008,300.0208
11/11/2008,332.1875
11/21/2008,358.4375
12/1/2008,353.375
12/11/2008,349.375
12/21/2008,353.6458
1/1/2009,315.1875
1/11/2009,236.4167
1/21/2009,220.8333
2/1/2009,147.8125
2/11/2009,114.7083
2/21/2009,86.875
3/1/2009,89.0625
3/11/2009,96.5625
3/21/2009,126.1458
4/1/2009,157.8958
4/11/2009,203.4792
4/21/2009,256.6875
5/1/2009,274.25
5/11/2009,317.1458
5/21/2009,342.8542
6/1/2009,343.4167
6/11/2009,340.7917
6/21/2009,305.3958
7/1/2009,273.5
7/11/2009,222.7083
7/21/2009,157.2292
8/1/2009,135.875
8/11/2009,91.4375
8/21/2009,67.0208
9/1/2009,62.4167
9/11/2009,60.1667
9/21/2009,56.9375
10/1/2009,82.1667
10/11/2009,146.1875
10/21/2009,202.0417
11/1/2009,276.0625
11/11/2009,310.0625
11/21/2009,339.4583
12/1/2009,355.4375
12/11/2009,357.9583
12/21/2009,399.4375
1/1/2010,390.1042
1/11/2010,326.6458
1/21/2010,270.8542
2/1/2010,209.625
2/11/2010,184.7083
2/21/2010,205.25
3/1/2010,239.4167
3/11/2010,249.2708
3/21/2010,287
4/1/2010,395.0625
4/11/2010,448.5208
4/21/2010,492.875
5/1/2010,530.625
5/11/2010,644.1875
5/21/2010,614.2708
6/1/2010,564.9583
6/11/2010,554.9375
6/21/2010,481.4375
7/1/2010,362.25
7/11/2010,316.3333
7/21/2010,289.0625
8/1/2010,243.8333
8/11/2010,125.625
8/21/2010,120.2292
9/1/2010,120.4167
9/11/2010,117.375
9/21/2010,112.3333
10/1/2010,118.5833
