date,region,county,market,category,commodity,unit,pricetype,price
8/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,30.59
8/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,2798.75
8/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,21
8/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,42
8/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,22
8/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,17.5
8/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1585.75
8/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,1668.75
8/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,30.59
8/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,23
8/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,15.24
8/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,30.12
8/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,2777
8/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,27
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,17.08
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,1529.5
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,Wholesale,468.51
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,925
